Label,Number of pics
pier,390
window,178
lakeside,177
spotlight,150
seashore,147
web,139
abaya,132
palace,121
steel,121
restaurant,110
vault,106
prison,101
bannister,100
television,93
stage,89
traffic,89
crane,81
monitor,81
planetarium,77
suspension,77
fountain,75
menu,75
book,74
solar,73
bell,72
envelope,72
fire,71
theater,68
candle,67
digital,66
cash,64
library,64
space,61
desk,60
toyshop,60
cab,59
organ,59
boathouse,58
cinema,58
comic,57
volcano,57
valley,56
airship,54
dock,54
electric,54
street,54
tobacco,53
cliff,52
jersey,52
bubble,51
lampshade,51
screen,51
pole,50
car,47
chainlink,47
patio,47
shower,46
streetcar,45
torch,45
promontory,43
beacon,42
oscilloscope,42
wig,42
wing,41
drilling,40
swimming,40
monastery,39
laptop,38
packet,38
shoji,38
greenhouse,36
stone,36
dome,35
limousine,35
sunglasses,35
coil,34
dam,34
binder,33
brass,33
breakwater,33
balloon,32
megalith,32
home,31
sliding,31
tray,31
barbershop,30
plate,30
slot,30
sunglass,30
bullet,29
studio,29
alp,27
medicine,27
stretcher,27
honeycomb,26
maze,26
water,26
convertible,25
lab,25
neck,25
sandbar,25
wreck,25
aircraft,24
binoculars,24
prayer,24
scoreboard,24
seat,24
sports,24
doormat,23
notebook,23
park,23
plastic,23
refrigerator,23
jigsaw,22
school,22
bow,21
dining,21
grand,21
grille,21
lighter,21
pedestal,21
pool,21
quilt,21
shoe,21
wardrobe,21
cellular,20
freight,20
pickup,20
pot,20
tabby,20
table,20
unicycle,20
worm,20
carousel,19
desktop,19
minibus,19
oxygen,19
photocopier,19
chain,18
consomme,18
cowboy,18
mobile,18
mountain,18
ox,18
radio,18
bookcase,17
chime,17
container,17
crash,17
crate,17
hair,17
mousetrap,17
punching,17
radiator,17
submarine,17
altar,16
cardigan,16
catamaran,16
guillotine,16
mask,16
passenger,16
projector,16
racer,16
shopping,16
stole,16
sunscreen,16
umbrella,16
acoustic,15
bikini,15
confectionery,15
microphone,15
miniskirt,15
mouse,15
moving,15
obelisk,15
recreational,15
schooner,15
typewriter,15
bakery,14
bathtub,14
beer,14
carton,14
loupe,14
safe,14
velvet,14
barber,13
barn,13
computer,13
drumstick,13
flagpole,13
grocery,13
handkerchief,13
jean,13
maraca,13
padlock,13
rubber,13
swab,13
swing,13
switch,13
warplane,13
amphibian,12
bobsled,12
broccoli,12
gas,12
liner,12
marimba,12
minivan,12
motor,12
stupa,12
thresher,12
tub,12
vending,12
beach,11
beaker,11
dumbbell,11
harp,11
mailbox,11
pajama,11
paper,11
pencil,11
ski,11
strainer,11
tricycle,11
turnstile,11
vase,11
wine,11
accordion,10
ambulance,10
breastplate,10
croquet,10
joystick,10
ladle,10
nipple,10
parachute,10
police,10
rotisserie,10
scale,10
toilet,10
washer,10
ashcan,9
balance,9
bath,9
bookshop,9
brassiere,9
can,9
canoe,9
cloak,9
coral,9
diaper,9
folding,9
garbage,9
goblet,9
gondola,9
harvester,9
paddlewheel,9
sweatshirt,9
tile,9
toaster,9
triceratops,9
triumphal,9
viaduct,9
academic,8
analog,8
barrel,8
daisy,8
geyser,8
gown,8
hamper,8
jellyfish,8
kite,8
mosque,8
oil,8
parallel,8
pop,8
projectile,8
quill,8
red,8
sarong,8
sea,8
suit,8
sundial,8
tow,8
trombone,8
upright,8
airliner,7
banana,7
cassette,7
china,7
coffeepot,7
forklift,7
gong,7
goose,7
hammerhead,7
hand,7
horizontal,7
ice,7
maillot,7
measuring,7
modem,7
mushroom,7
pillow,7
plunger,7
rocking,7
snowplow,7
speedboat,7
tape,7
tench,7
trailer,7
vestment,7
wallet,7
abacus,6
apron,6
barbell,6
birdhouse,6
bonnet,6
bulletproof,6
castle,6
chest,6
crossword,6
fur,6
jeep,6
lemon,6
matchstick,6
missile,6
rule,6
sax,6
stove,6
teddy,6
tiger,6
trimaran,6
tripod,6
wall,6
wool,6
albatross,5
ant,5
bathing,5
bearskin,5
cleaver,5
cradle,5
crutch,5
disk,5
drum,5
eel,5
entertainment,5
face,5
fireboat,5
football,5
golf,5
hay,5
hermit,5
hook,5
knot,5
maypole,5
nail,5
paintbrush,5
perfume,5
pill,5
printer,5
sandal,5
shield,5
slide,5
soccer,5
spider,5
throne,5
violin,5
whistle,5
butternut,4
chocolate,4
coffee,4
cornet,4
file,4
hard,4
hourglass,4
iron,4
kimono,4
komondor,4
kuvasz,4
leatherback,4
lipstick,4
llama,4
lotion,4
meat,4
necklace,4
nematode,4
paddle,4
parking,4
picket,4
reel,4
remote,4
screwdriver,4
sewing,4
sleeping,4
soap,4
sock,4
syringe,4
tennis,4
tick,4
trolleybus,4
washbasin,4
yawl,4
yurt,4
agaric,3
anemone,3
apiary,3
assault,3
axolotl,3
boxer,3
bucket,3
caldron,3
cannon,3
cello,3
chambered,3
church,3
clog,3
cuirass,3
espresso,3
feather,3
flatworm,3
flute,3
goldfish,3
great,3
groom,3
harmonica,3
head,3
horse,3
isopod,3
loudspeaker,3
mailbag,3
microwave,3
military,3
moped,3
mortar,3
oboe,3
ocarina,3
odometer,3
plane,3
puck,3
racket,3
rapeseed,3
running,3
sombrero,3
spatula,3
stethoscope,3
sturgeon,3
terrapin,3
thatch,3
thimble,3
trench,3
vacuum,3
waffle,3
armadillo,2
ballplayer,2
ballpoint,2
basenji,2
basketball,2
bassinet,2
bighorn,2
bolo,2
brain,2
buckle,2
butcher,2
chiton,2
cockroach,2
cocktail,2
coho,2
colobus,2
combination,2
conch,2
crayfish,2
crib,2
cucumber,2
dial,2
dugong,2
fiddler,2
gar,2
hammer,2
hatchet,2
howler,2
hummingbird,2
impala,2
jackfruit,2
knee,2
magnetic,2
mixing,2
orange,2
pelican,2
pick,2
piggy,2
